,Position,Artist,Streams,URL,Year,Month,Day,Track Name
0,1,The Weeknd,25286465,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2016,12,30,Starboy
1,2,The Chainsmokers,22047697,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2016,12,30,Closer
2,3,Clean Bandit,19794482,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2016,12,30,Rockabye (feat. Sean Paul & Anne-Marie)
3,4,DJ Snake,17965723,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2016,12,30,Let Me Love You
4,5,Maroon 5,16966668,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2016,12,30,Don't Wanna Know
5,6,Rae Sremmurd,16831609,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2016,12,30,Black Beatles
6,7,ZAYN,16797090,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2016,12,30,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""
7,8,Drake,16629189,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2016,12,30,Fake Love
8,9,Bruno Mars,16023066,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2016,12,30,24K Magic
9,10,James Arthur,15571413,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2016,12,30,Say You Won't Let Go
10,11,Mariah Carey,15094760,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,2016,12,30,All I Want for Christmas Is You
11,12,The Weeknd,14845976,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2016,12,30,I Feel It Coming
12,13,Drake,13620191,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2016,12,30,One Dance
13,14,Major Lazer,13143341,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2016,12,30,Cold Water (feat. Justin Bieber & MØ)
14,15,Sia,13074479,https://open.spotify.com/track/6bLopGnirdrilrpdVB6Um1,2016,12,30,The Greatest
15,16,Martin Garrix,12854288,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2016,12,30,In the Name of Love
16,17,Starley,12309223,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2016,12,30,Call On Me - Ryan Riback Extended Remix
17,18,Shakira,12104974,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2016,12,30,Chantaje (feat. Maluma)
18,19,Ariana Grande,11964458,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,2016,12,30,Side To Side
19,20,Steve Aoki,11735194,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2016,12,30,Just Hold On
20,21,Wham!,11724752,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,2016,12,30,Last Christmas
21,22,Hailee Steinfeld,10932500,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2016,12,30,Starving
22,23,Migos,10635390,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,2016,12,30,Bad and Boujee (feat. Lil Uzi Vert)
23,24,Machine Gun Kelly,10620238,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2016,12,30,Bad Things (with Camila Cabello)
24,25,Shawn Mendes,10507024,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,2016,12,30,Mercy
25,26,Calvin Harris,10330481,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,2016,12,30,My Way
26,27,Twenty One Pilots,10169963,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,2016,12,30,Heathens
27,28,The Chainsmokers,10163696,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2016,12,30,All We Know
28,29,The Chainsmokers,9267559,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,2016,12,30,Don't Let Me Down
29,30,Shawn Mendes,9168864,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,2016,12,30,Treat You Better
30,31,Alessia Cara,8583889,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK,2016,12,30,Scars To Your Beautiful
31,32,CNCO,8223181,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2016,12,30,Reggaetón Lento (Bailemos)
32,33,John Legend,8203210,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,2016,12,30,Love Me Now
33,34,The Vamps,7749405,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,2016,12,30,All Night
34,35,Justin Timberlake,7734734,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,2016,12,30,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")"
35,36,Sage The Gemini,7724332,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS,2016,12,30,Now and Later
36,37,Nevada,7669735,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO,2016,12,30,The Mack
37,38,Jonas Blue,7669293,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,2016,12,30,By Your Side
38,39,Charlie Puth,7596658,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,2016,12,30,We Don't Talk Anymore
39,40,Alan Walker,7584237,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,2016,12,30,Alone
40,41,Michael Bublé,7493998,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI,2016,12,30,It's Beginning to Look a Lot like Christmas
41,42,Zara Larsson,7461568,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6,2016,12,30,I Would Like
42,43,The Weeknd,7431097,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt,2016,12,30,Party Monster
43,44,J Balvin,7286559,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2016,12,30,Safari
44,45,Andy Williams,7232257,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN,2016,12,30,It's the Most Wonderful Time of the Year
45,46,Sia,7218935,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,2016,12,30,Cheap Thrills
46,47,J. Cole,7217628,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ,2016,12,30,Deja Vu
47,48,DRAM,7143405,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol,2016,12,30,Broccoli (feat. Lil Yachty)
48,49,Mike Posner,7093486,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,2016,12,30,I Took A Pill In Ibiza - Seeb Remix
49,50,Aminé,7091625,https://open.spotify.com/track/5hTpBe8h35rJ67eAWHQsJx,2016,12,30,Caroline
50,51,Bobby Helms,7055550,https://open.spotify.com/track/1cImYkHOQMFE7AZC9aOk4y,2016,12,30,Jingle Bell Rock
51,52,Ricky Martin,6588326,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,2016,12,30,Vente Pa' Ca
52,53,Zion & Lennox,6449470,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2016,12,30,Otra vez (feat. J Balvin)
53,54,Twenty One Pilots,6394724,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW,2016,12,30,Ride
54,55,Robin Schulz,6295040,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY,2016,12,30,Shed a Light
55,56,Alessia Cara,6273292,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,2016,12,30,"How Far I'll Go - From ""Moana"""
56,57,Alok,6269293,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,2016,12,30,Hear Me Now
57,58,NEIKED,6070351,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop,2016,12,30,Sexual
58,59,Frank Sinatra,5981969,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM,2016,12,30,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)
59,60,Bing Crosby,5949789,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW,2016,12,30,White Christmas
60,61,Jonas Blue,5874412,https://open.spotify.com/track/5bZtRlMBU76vHuDOb1GM5u,2016,12,30,Perfect Strangers
61,62,Calvin Harris,5682904,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,2016,12,30,This Is What You Came For
62,63,Big Sean,5581496,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF,2016,12,30,Bounce Back
63,64,Drake,5568347,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew,2016,12,30,Too Good
64,65,Twenty One Pilots,5561301,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn,2016,12,30,Stressed Out
65,66,Brenda Lee,5553147,https://open.spotify.com/track/3T7dNA7O8c3Axj5WyDNcH3,2016,12,30,Rockin' Around The Christmas Tree - Single Version
66,67,gnash,5529838,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe,2016,12,30,"i hate u, i love u (feat. olivia o'brien)"
67,68,José Feliciano,5503666,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS,2016,12,30,Feliz Navidad
68,69,Fifth Harmony,5426035,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,2016,12,30,Work from Home (feat. Ty Dolla $ign)
69,70,Band Aid,5360185,https://open.spotify.com/track/1hvpDAxZPKjKztOc72sv06,2016,12,30,Do They Know It's Christmas? - 1984 Version
70,71,Rag'n'Bone Man,5332630,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O,2016,12,30,Human
71,72,Alan Walker,5324718,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,2016,12,30,Faded
72,73,Desiigner,5286319,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h,2016,12,30,Panda
73,74,Justin Bieber,5262534,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT,2016,12,30,Love Yourself
74,75,Rihanna,5193349,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v,2016,12,30,Work
75,76,Justin Bieber,5191994,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ,2016,12,30,Sorry
76,77,Elvis Presley,5185497,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ,2016,12,30,Blue Christmas
77,78,Lil Wayne,5183750,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB,2016,12,30,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)"
78,79,Martin Jensen,5126414,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN,2016,12,30,Solo Dance
79,80,Zay Hilfigerrr,5077939,https://open.spotify.com/track/1lItf5ZXJc1by9SbPeljFd,2016,12,30,Juju On That Beat (TZ Anthem)
80,81,The Chainsmokers,5056330,https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s,2016,12,30,Setting Fires
81,82,Shakin' Stevens,4997993,https://open.spotify.com/track/2ISl1zekPsc26sUQpVt8UB,2016,12,30,Merry Christmas Everyone - Remastered
82,83,Noah Cyrus,4926962,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP,2016,12,30,Make Me (Cry)
83,84,Ariana Grande,4899973,https://open.spotify.com/track/1ADjWm8QNhgNV8yCNNgQ1T,2016,12,30,Santa Tell Me
84,85,Carlos Vives,4896546,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,2016,12,30,La Bicicleta
85,86,Rob $tone,4888031,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp,2016,12,30,Chill Bill
86,87,John Lennon,4885251,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy,2016,12,30,Happy Xmas (War Is Over) - Remastered
87,88,Little Mix,4836418,https://open.spotify.com/track/0YHUITU3w6ws1v8ehT264g,2016,12,30,Shout Out to My Ex
88,89,Luke Christopher,4833942,https://open.spotify.com/track/2HzfRSfCogBSsgW2CckVA2,2016,12,30,Lot to Learn
89,90,Justin Bieber,4817146,https://open.spotify.com/track/32OWobmyAz8J2qA8iWekyS,2016,12,30,Mistletoe
90,91,Sebastian Yatra,4805621,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,2016,12,30,Traicionera
91,92,Drake,4781312,https://open.spotify.com/track/6F609ICg9Spjrw1epsAnpa,2016,12,30,Controlla
92,93,Adele,4765744,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y,2016,12,30,Water Under the Bridge
93,94,Mike Perry,4607088,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv,2016,12,30,The Ocean (feat. Shy Martin)
94,95,Coldplay,4590654,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2016,12,30,Hymn for the Weekend - Seeb Remix
95,96,Rihanna,4583611,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm,2016,12,30,Needed Me
96,97,Cashmere Cat,4571592,https://open.spotify.com/track/2wDjpPW3HZdA9quPPmZAMu,2016,12,30,Trust Nobody (feat. Selena Gomez & Tory Lanez)
97,98,The Weeknd,4570153,https://open.spotify.com/track/4h90qkbnW1Qq6pBhoPvwko,2016,12,30,Sidewalks
98,99,Nat King Cole,4534872,https://open.spotify.com/track/5humEOJehpAwMJEJmb0JJ2,2016,12,30,The Christmas Song (Merry Christmas To You)
99,100,21 Savage,4508475,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO,2016,12,30,X (feat. Future)
100,101,Daddy Yankee,4460038,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf,2016,12,30,Shaky Shaky
101,102,Major Lazer,4420554,https://open.spotify.com/track/0L7loeTIg6akW84aEQZpCT,2016,12,30,Light It Up (feat. Nyla & Fuse ODG) - Remix
102,103,DNCE,4408356,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl,2016,12,30,Cake By The Ocean
103,104,Lukas Graham,4397591,https://open.spotify.com/track/7129iqBafaphfc3WPCGC0L,2016,12,30,7 Years
104,105,Bruno Mars,4396780,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,2016,12,30,Versace on the Floor
105,106,Petit Biscuit,4385053,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1,2016,12,30,Sunset Lover
106,107,Drake,4283490,https://open.spotify.com/track/4ckuS4Nj4FZ7i3Def3Br8W,2016,12,30,Sneakin’
107,108,The Weeknd,4275228,https://open.spotify.com/track/4mU5iXHeLgbR94siF7p1sY,2016,12,30,Six Feet Under
108,109,21 Savage,4257945,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO,2016,12,30,No Heart
109,110,The Pogues,4245077,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK,2016,12,30,Fairytale of New York (feat. Kirsty MacColl)
110,111,Pentatonix,4164977,https://open.spotify.com/track/550rQQCGkrTzvp4SfpOPzx,2016,12,30,Hallelujah
111,112,DJ Snake,4147726,https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n,2016,12,30,Middle
112,113,Vice,4145668,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA,2016,12,30,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)
113,114,FRENSHIP,4112369,https://open.spotify.com/track/2XMTqoHHSH0lvuXrvIEdco,2016,12,30,Capsize
114,115,Ariana Grande,4112003,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0,2016,12,30,Into You
115,116,Kungs,4060819,https://open.spotify.com/track/0tICYNayWWhH9GPeFrfjfD,2016,12,30,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners
116,117,MC G15,4054555,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF,2016,12,30,Deu Onda
117,118,Enrique Iglesias,4053683,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf,2016,12,30,DUELE EL CORAZON
118,119,Andy Grammer,4008319,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3,2016,12,30,Fresh Eyes
119,120,J. Cole,4005289,https://open.spotify.com/track/0utlOiJy2weVl9WTkcEWHy,2016,12,30,Neighbors
120,121,Childish Gambino,3870641,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y,2016,12,30,Redbone
121,122,Bebe Rexha,3863605,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i,2016,12,30,I Got You
122,123,Ed Sheeran,3836919,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,2016,12,30,Photograph
